,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
20,APOCALYPSE NOW,D,1979, War/Drama,Fresh, 2h 33m,https://resizing.flixster.com/JeBaXZGgx3ozRy8qMNYXsmZVuOs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5545_p_v8_at.jpg
21,AVENGERS: ENDGAME,D,2019, Action/Adventure,8.20, 3h 1m,https://resizing.flixster.com/PUYKuy0g9kGg9q4iPoUQY6dY_a4=/fit-in/180x240/v2/https://resizing.flixster.com/fC7nU6iTRQk02tS0SDS1ylx-G34=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QxZjE5ZDgzLTRiY2MtNDFkYS04NWQ4LTRkYzc1ZTAwNWE2NC53ZWJw
22,BACK TO THE FUTURE,D,1985, Comedy/Sci-fi,8.80, 1h 56m,https://resizing.flixster.com/sj20unXgnbE4Yy8gLku8yQh_ZiU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8717_p_v8_ac.jpg
23,BADLANDS,D,1973, Crime/Drama,8.90, 1h 35m,https://resizing.flixster.com/HN2esXstVIaTkM6IW0UX246AfR4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/9976/9976_aa.jpg
24,BEAUTY AND THE BEAST,D,1991, Kids & family/Fantasy,8.50, 1h 24m,https://resizing.flixster.com/sL3NlGMR1M8sOb1j3OMpzY4bi-0=/fit-in/180x240/v2/https://resizing.flixster.com/hxGLPPMf0SVNNNnWRsA4zTyk_As=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q1OWQzMzQ0LWY0YTgtNGI1ZS05NjRlLTk5NWMwMjVhYjQ0Yy53ZWJw
25,BEING JOHN MALKOVICH,D,1999, Comedy,Fresh, 1h 52m,https://resizing.flixster.com/miOsrhX2enQVGCmzxaFkSM2gCd8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23903_p_v8_ah.jpg
26,BEING THERE,D,1979, Comedy,Fresh, 2h 10m,https://resizing.flixster.com/trhHTOj8_yQuAlGBRzygX0NEs4g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7227_p_v8_aa.jpg
27,THE BEST YEARS OF OUR LIVES,D,1946, Drama,Fresh, 2h 52m,https://resizing.flixster.com/syb0jFTD5OkAU9nd5H3KvzbB8MU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1312_p_v8_aa.jpg
28,BETTER LUCK TOMORROW,D,2002, Crime/Drama,Fresh, 1h 41m,https://resizing.flixster.com/g-PntmXg4BVDo084MMkJS2ChYso=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p76432_v_v8_aa.jpg
29,BICYCLE THIEVES,D,1948, Drama,9.20, 1h 30m,https://resizing.flixster.com/AhwxEtFYYdEyH9DtQOYbrcShLqM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7480_p_v7_ae.jpg
