,Title,Genre,Image_Link
27,Pépé le Moko (re-release),Crime,https://www.metacritic.com/a/img/resize/b203295a2ab34a36c09840c78cc8021c6a5a347c/catalog/provider/2/2/2-a6775043f772b6b629b542b5ffe5dc85.jpg?auto=webp&fit=cover&height=132&width=88
28,The Treasure of the Sierra Madre,Adventure,https://www.metacritic.com/a/img/resize/e88529e70dfbbf32f31f7125d124d0099b095210/catalog/provider/2/2/2-59e6338377d302846990e1dbb8c1cbd8.jpg?auto=webp&fit=cover&height=132&width=88
29,Pan's Labyrinth,Drama,https://www.metacritic.com/a/img/resize/e0adc846acb3641107425322bfab96d0b76dc1d6/catalog/provider/2/2/2-89a55c670dbb2e65c56e0fa0675abf0e.jpg?auto=webp&fit=cover&height=132&width=88
30,Some Like It Hot,Comedy,https://www.metacritic.com/a/img/resize/0648cea56238ee0689fa00eefae59d5264a1a824/catalog/provider/2/2/2-35e374e77942f4f468ea377e16cf0113.jpg?auto=webp&fit=cover&height=132&width=88
31,North by Northwest,Action,https://www.metacritic.com/a/img/resize/8107f30b14737f17289acb1180f7cc66ae1cdf18/catalog/provider/2/2/2-7c20dd64dd41531cb811890ad4806d3c.jpg?auto=webp&fit=cover&height=132&width=88
32,Hoop Dreams,Documentary,https://www.metacritic.com/a/img/resize/e70b9abe477dc8b5531c23366646c1fc90a8d0a7/catalog/provider/2/2/2-4877adb1544395b95ac11227b5be6116.jpg?auto=webp&fit=cover&height=132&width=88
33,Rashomon,Crime,https://www.metacritic.com/a/img/resize/227ec0272302deb62cd5486d16ee9ec500a9bdaf/catalog/provider/2/2/2-953f9531a146f6b7373cc10db6bc7c13.jpg?auto=webp&fit=cover&height=132&width=88
34,The Passion of Joan of Arc,Biography,https://www.metacritic.com/a/img/resize/b71c497fe54386bf0d91860c8d2d08697ca0d758/catalog/provider/2/2/2-34751db0949b9c0354937264d78da868.jpg?auto=webp&fit=cover&height=132&width=88
35,All About Eve,Drama,https://www.metacritic.com/a/img/resize/0609dd34e6ab844f1952a14c0848f284e695345a/catalog/provider/2/2/2-fec55955def683ee28baaead94a2855a.jpg?auto=webp&fit=cover&height=132&width=88
36,Metropolis (re-release),Drama,https://www.metacritic.com/a/img/resize/0ebdcf3e08281a3eba7fc25faca50e8fc0e363d4/catalog/provider/2/2/2-f67efa682397ab2c1f442078a5c383ff.jpg?auto=webp&fit=cover&height=132&width=88
37,Jules and Jim,Drama,https://www.metacritic.com/a/img/resize/3828cb5e25ba694a10c2da84ed4973c73315fcf5/catalog/provider/2/2/2-b7860970c1a8f6a40597038a55208284.jpg?auto=webp&fit=cover&height=132&width=88
38,My Left Foot,Biography,https://www.metacritic.com/a/img/resize/a10600bcd8f7295d0540776e7bbacf4832cc50e0/catalog/provider/2/2/2-87bb28b6ca28c59e24e48412e722a2b0.jpg?auto=webp&fit=cover&height=132&width=88
39,The Night of the Hunter,Crime,https://www.metacritic.com/a/img/resize/ecc8a630ad2a97639f8780ebc67b0a5e9e032166/catalog/provider/2/2/2-e7b9814bace1b20265067790bc47ef7c.jpg?auto=webp&fit=cover&height=132&width=88
40,Ran,Action,https://www.metacritic.com/a/img/resize/7f40b1e3bcd45cfef97dde77ff39f4e3d27a2c6b/catalog/provider/2/2/2-3ba10e160130145833d6bfc2637b218c.jpg?auto=webp&fit=cover&height=132&width=88
41,The Third Man,Film-Noir,https://www.metacritic.com/a/img/resize/8fe6ac3a2d7e652dfbe49140e389422189055a08/catalog/provider/2/2/2-4cabb3a923ea32388056693093bed1c0.jpg?auto=webp&fit=cover&height=132&width=88
42,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,https://www.metacritic.com/a/img/resize/3fa4d15d9230a3ee8ab087b0d2e9a6253bdf9ec3/catalog/provider/2/2/2-c52370c93caeb7580768e8f30fdb9f13.jpg?auto=webp&fit=cover&height=132&width=88
43,"Quo Vadis, Aida?",Drama,https://www.metacritic.com/a/img/resize/67f596420e44e7f6abe1ca872155f7c52c905fcb/catalog/provider/2/2/2-ce052d31ece8e28d24d4d09e62745b2a.jpg?auto=webp&fit=cover&height=132&width=88
44,Rififi (re-release),Crime,https://www.metacritic.com/a/img/resize/052e9eb876c8c6e9ee6b256a448a54c0e69fc87d/catalog/provider/2/2/2-1cd98bbe0c5d28b7b8b502176df7e3da.jpg?auto=webp&fit=cover&height=132&width=88
45,Psycho,Horror,https://www.metacritic.com/a/img/resize/55db70482df04f4689970442796fcc78d0cac55b/catalog/provider/2/2/2-0a64812fb15c85c9e7d9ab09f04238cb.jpg?auto=webp&fit=cover&height=132&width=88
46,Gone with the Wind,Drama,https://www.metacritic.com/a/img/resize/8054e70e810ce503cca4426ddba4bf29b410bc85/catalog/provider/2/2/2-bd76e04c5a52abbbc01c2eec0c5d1445.jpg?auto=webp&fit=cover&height=132&width=88
47,"4 Months, 3 Weeks and 2 Days",Drama,https://www.metacritic.com/a/img/resize/3884dc40fc69a72e0f15b2308fa3446966c3978a/catalog/provider/2/2/2-808bb3acc87fc9a62e456c127fc1b970.jpg?auto=webp&fit=cover&height=132&width=88
48,Battleship Potemkin,Drama,https://www.metacritic.com/a/img/resize/5a3790ad5a5c4051de310b672e79d92af53ff37d/catalog/provider/2/2/2-c1d187a23ece23b2621bb66c0ec2c0ec.jpg?auto=webp&fit=cover&height=132&width=88
49,A Streetcar Named Desire,Drama,https://www.metacritic.com/a/img/resize/86da70fc0e428a1dce3dcfc388eece1957ba55e5/catalog/provider/2/2/2-3476fff1b9fc43b6cec744b6c86cbfcf.jpg?auto=webp&fit=cover&height=132&width=88
50,The Maltese Falcon,Crime,https://www.metacritic.com/a/img/resize/aabae540584f8c69b693dc2ac573c186414f3019/catalog/provider/2/2/2-f65d871d24ea277fabdb10aeadc8f7cb.jpg?auto=webp&fit=cover&height=132&width=88
51,American Graffiti,Comedy,https://www.metacritic.com/a/img/resize/713eaf4c0da69f303a8e97f0519d4c50bf63b7f7/catalog/provider/2/2/2-891efd95c050f5ae313d6815d65db777.jpg?auto=webp&fit=cover&height=132&width=88
