,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
15,THE BOYS IN THE BOAT,R,2023, History/Drama,['5.80'], 2h 4m,https://resizing.flixster.com/chFm2uxK2yhOaACxc6MIEra3WhA=/206x305/v2/https://resizing.flixster.com/F4ZQOz5WR87qrns9gaJut6KEXXU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzkzZWJlNDczLWM2N2YtNGE2Yi1hOTEwLTNhYThiNTE4ZmJmYi5qcGc=
16,OPPENHEIMER,R,2023, History/Drama,['8.60'], 3h 0m,https://resizing.flixster.com/5bbfOrn5Stku1HxlkK4ISYi2uQk=/206x305/v2/https://resizing.flixster.com/dV1vfa4w_dB4wzk7A_VzThWUWw8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEyZDMyYjZmLThmNzAtNDliNC1hMjFmLTA2ZWY4M2UyMjJhMi5qcGc=
17,BADLAND HUNTERS,R,2024, Action/Sci-fi,['6.10'], 1h 47m,https://resizing.flixster.com/KjMuGc0p3vOJqI5Uf5o3063Zub4=/206x305/v2/https://resizing.flixster.com/Hg8A_T99xTkonTDeBHJ2tsIlt9I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RlMjZiMWEzLWZlYzUtNDA4Zi1hYmRmLWEzNTkxODBhOGJkNy5qcGc=
18,PAST LIVES,R,2023, Romance/Drama,['9.10'], 1h 46m,https://resizing.flixster.com/ip4filts4cV72q1fIzvmugV-Hrg=/206x305/v2/https://resizing.flixster.com/Rj36W7XfjR7FUlGiJBCMNfLpk5k=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg5NjQ4NjQxLTI5MzktNDVlMy04NTU0LTEzZGJiYTZmNzRlNi5qcGc=
19,LIFT,R,2024, Action/Comedy,['4.60'], 1h 44m,https://resizing.flixster.com/U7FKNalnJRMaUDb0P0EKx3uaJBk=/206x305/v2/https://resizing.flixster.com/JePOSD0hRh_ObBaKyKxzBjdkPIk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ4NzJiMzczLWMzOGYtNDBiYy04ODcyLTVlOWNhZGU2OTc3MS5qcGc=
20,NAPOLEON,R,2023, Biography/History,['6.20'], 2h 38m,https://resizing.flixster.com/SGY4sI7Ry5bXpwPlJV6nZk3wnq0=/206x305/v2/https://resizing.flixster.com/1aZHwA3lCrTwV68OmdGh_T6j2QA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IwODZhMzk3LWRmMzctNGI4My05MjgxLTdmMmIzYWZhMjc1Ni5wbmc=
21,WISH,R,2023, Kids & family/Fantasy,['5.70'], 1h 32m,https://resizing.flixster.com/vazf4WmNLiT_T2l2_3Cjnrwi5kM=/206x305/v2/https://resizing.flixster.com/qIk5F8LNkRDAxu6Tn6XvYJ1rVMg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2MyODNiYmIxLTYyOWMtNDJiNi1iZmZlLTE4ZGQ2MGQwZGFiNS5qcGc=
22,THE UNDERDOGGS,R,2024, Comedy/Sports,['4.40'], 1h 41m,https://resizing.flixster.com/Vja5QSE24b-XmQM0k9nkxLbJqCk=/206x305/v2/https://resizing.flixster.com/MuyfECj-Qu9el_BA25LlbMRMlpE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2VjOTVkZTc3LTE0NWYtNGY4MC05ZjdlLTcxOTE2MGViNDBmMy5qcGc=
23,THE CREATOR,R,2023, Sci-fi/Action,['6.70'], 2h 13m,https://resizing.flixster.com/a8yOHUJZN88nlYhy8BTgM1gxNbI=/206x305/v2/https://resizing.flixster.com/CqeQShqSXJ8Ec-2I9RYEXdoncH0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNjYzAzM2ZiLTc5ZGItNDUyYS05MmFkLTY5NDRiYjRiODlkYi5qcGc=
24,MAESTRO,R,2023, Biography/Drama,['7.50'], 2h 9m,https://resizing.flixster.com/9ksb0eFoytUoT86OohQBu83lnI0=/206x305/v2/https://resizing.flixster.com/QxuXNaDPg5NQX_DPml6C0zV1A5E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZmMDhiMTk1LTc5MzMtNGQ0OS04NTNiLTY2MWEwZDBkYjRlMi5qcGc=
25,SELF RELIANCE,R,2023, Comedy/Mystery & thriller,['6.20'], 1h 29m,https://resizing.flixster.com/I7oV_juHFwxIfhjWSVJjAfxo-Vc=/206x305/v2/https://resizing.flixster.com/zSv3QTYScdat6tfcTtsAw1NpTVA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiMzVlNmY5LTA4OTktNDY2MC05MTU0LTk0NzVmNGU4OTk1Ny5qcGc=
